time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
253952,249.48,124,3925,12.68,64,0.667891263961792,0.3352084755897522,-0.0015474943211302161,-0.2468925965949893,0.2,0.0037803766,0.0218505859375,0.00025,492,0.7827649302780628,,
256000,248.66,125,3928,12.67,65,0.6654424667358398,0.46527978777885437,-0.0012503843463491648,-0.2230467526242137,0.2,0.0025438082,0.0172119140625,0.00025,496,0.7987817823886871,,
258048,249.8,126,3934,12.8,65,0.6122890710830688,0.34249407052993774,-0.0007653975335415453,-0.2463857103139162,0.2,0.002581927,0.0306396484375,0.00025,500,0.7752490863204002,,
260096,247.57,127,3940,12.69,66,0.5544112920761108,0.25329339504241943,-0.0005876592185813934,-0.282297944650054,0.2,0.002790464,0.0196533203125,0.00025,504,0.6091283019632101,,
262144,245.74,128,3948,12.66,66,0.5222883820533752,0.348612904548645,-0.000945582112763077,-0.2772918250411749,0.2,0.0039089746,0.0345458984375,0.00025,508,0.7234118692576885,,
264192,242.79,129,3954,12.52,66,0.5784388184547424,0.3699885308742523,-0.00011061015538871288,-0.3043995201587677,0.2,0.007231991,0.0478515625,0.00025,512,0.7161232158541679,,
266240,235.58,130,3959,12.0,67,0.6629948616027832,0.3296956717967987,-0.0003305514401290566,-0.33055178076028824,0.2,0.0046233367,0.0391845703125,0.00025,516,0.7250842601060867,,
268288,233.28,131,3966,11.86,67,0.6463192701339722,0.32673680782318115,0.00022516318131238222,-0.29805595614016056,0.2,0.008412561,0.0516357421875,0.00025,520,0.7332674637436867,,
270336,228.94,132,3970,11.63,68,0.5189670324325562,0.34961462020874023,1.2829550541937351e-05,-0.3266984894871712,0.2,0.0034126323,0.0491943359375,0.00025,524,0.7366804629564285,,
272384,225.73,133,3976,11.44,68,0.5980949401855469,0.380734920501709,-0.000788184319389984,-0.3289859239012003,0.2,0.0049396497,0.0347900390625,0.00025,528,0.7132602892816067,,
274432,224.22,134,3980,11.33,68,0.5896366834640503,0.3591585159301758,-0.0004004247603006661,-0.3212818745523691,0.2,0.0026799208,0.0325927734375,0.00025,532,0.7583224400877953,,
276480,222.01,135,3986,11.22,69,0.6095622777938843,0.3292272090911865,-0.0007051076972857118,-0.2924024239182472,0.2,0.0041511497,0.030517578125,0.00025,536,0.795888714492321,,
278528,218.13,136,3990,10.99,69,0.6434770822525024,0.3634307086467743,0.0036244509974494576,-0.2731218645349145,0.2,0.007379929,0.086669921875,0.00025,540,0.8156989738345146,,
280576,220.36,137,3993,11.16,70,0.45618075132369995,0.30691784620285034,0.00716116710100323,-0.27234266605228186,0.2,0.010416068,0.0782470703125,0.00025,544,0.6314424462616444,,
282624,223.25,138,3997,11.38,70,0.6474570035934448,0.23507963120937347,-0.003080807044170797,-0.26685923896729946,0.2,0.00429236,0.0299072265625,0.00025,548,0.6755635142326355,,
284672,226.3,139,4000,11.55,71,0.5303668975830078,0.32305243611335754,-0.002419038093648851,-0.24643804505467415,0.2,0.002540023,0.024658203125,0.00025,552,0.7114711478352547,,
