time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/clip_range,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
5584896,6521,2727,856,-0.0015321056125685573,0.6404069662094116,-0.9839773997664452,0.3055419921875,0.07759927213191986,-9.67,5.061257142857142e-05,10904,3948.15,0.02024502857142857,0.20637461123988032,0.00070088234,,
5586944,6523,2728,856,0.000136443370138295,0.47927576303482056,-1.0033616945147514,0.379638671875,0.09149935841560364,-9.7,5.053942857142857e-05,10908,3939.14,0.02021577142857143,0.22768633160740137,0.0012232168,,
5588992,6526,2729,856,-0.0015245875692926347,0.6107322573661804,-1.006271120160818,0.3009033203125,0.08138907700777054,-9.72,5.0466285714285714e-05,10912,3935.06,0.020186514285714288,0.18309639254584908,0.00055935467,,
5591040,6528,2730,856,-0.0009995507716666907,0.660707414150238,-1.0117403492331505,0.293701171875,0.05922874063253403,-9.7,5.039314285714286e-05,10916,3924.46,0.020157257142857144,0.1777921705506742,0.00062176667,,
5593088,6530,2731,856,-0.001972587691852823,0.7297723293304443,-1.0247310120612383,0.2869873046875,0.05595458298921585,-9.79,5.0320000000000006e-05,10920,3909.64,0.020128000000000004,0.16055854642763734,0.0006147992,,
5595136,6532,2732,856,-0.002022687185672112,0.5691826939582825,-1.0009777043014765,0.2987060546875,0.08797799050807953,-10.0,5.024685714285715e-05,10924,3890.5,0.02009874285714286,0.22621338767930865,0.0006620344,,
5597184,6534,2733,856,-0.002040996027062647,0.644747793674469,-0.9998104982078075,0.3089599609375,0.047183241695165634,-10.03,5.017371428571429e-05,10928,3896.2,0.02006948571428572,0.15060721966437995,0.0006776257,,
5599232,6537,2734,856,-0.0021277834894135594,0.5415316224098206,-0.9862791635096073,0.2625732421875,0.10367357730865479,-10.03,5.010057142857144e-05,10932,3896.2,0.02004022857142858,0.22012920025736094,0.00041648632,,
5601280,6539,2735,856,0.00048265373334288597,0.5386598110198975,-1.0053807627409697,0.3653564453125,0.08278845250606537,-10.03,5.0027428571428584e-05,10936,3896.2,0.020010971428571434,0.21957799419760704,0.0014029901,,
5603328,6541,2736,856,-0.0007963215175550431,0.6713473796844482,-1.0159780029207468,0.3232421875,0.10257090628147125,-9.95,4.99542857142857e-05,10940,3902.15,0.019981714285714283,0.19732640264555812,0.0006955019,,
5605376,6543,2737,856,-0.0015007973124738783,0.7178200483322144,-0.9927718285471201,0.321533203125,0.07411143183708191,-10.08,4.988114285714285e-05,10944,3879.88,0.01995245714285714,0.1899073556996882,0.00068919687,,
5607424,6545,2738,856,-0.001702327688690275,0.6742171049118042,-1.005144054070115,0.2955322265625,0.09383152425289154,-10.12,4.9807999999999995e-05,10948,3892.52,0.0199232,0.2056503128260374,0.0005853812,,
5609472,6547,2739,856,-0.0022257113159867004,0.6933525800704956,-1.0000237245112658,0.273681640625,0.0605183020234108,-10.12,4.9734857142857134e-05,10952,3892.52,0.019893942857142854,0.19094597734510899,0.0004941303,,
5611520,6550,2740,856,-0.0016568321298109367,0.6773766875267029,-1.0202218107879162,0.2779541015625,0.08644800633192062,-10.0,4.966171428571428e-05,10956,3897.41,0.019864685714285714,0.21229393500834703,0.0005689139,,
5613568,6552,2741,856,-0.0018627090903464705,0.6612170934677124,-1.00362110696733,0.2879638671875,0.10331952571868896,-10.0,4.9588571428571426e-05,10960,3897.41,0.019835428571428573,0.2433067630045116,0.0006599984,,
5615616,6554,2742,856,-0.0015227161347866058,0.6354255676269531,-0.9801050182431936,0.28369140625,0.07260830700397491,-10.03,4.951542857142857e-05,10964,3895.25,0.01980617142857143,0.18521219585090876,0.00067788496,,
5617664,6556,2743,856,-0.0008708362438483164,0.5792692303657532,-0.9934449382126331,0.30908203125,0.09156692773103714,-10.08,4.944228571428572e-05,10968,3884.71,0.01977691428571429,0.23802615702152252,0.0007657381,,
5619712,6558,2744,856,-0.0019990076980320737,0.5835117697715759,-0.9777318965643644,0.2808837890625,0.08763042092323303,-10.11,4.9369142857142864e-05,10972,3879.5,0.019747657142857145,0.20812659338116646,0.0005300492,,
5621760,6560,2745,856,-0.0015822359127923846,0.49477487802505493,-0.9614848792552948,0.3021240234375,0.07461642473936081,-10.05,4.929600000000001e-05,10976,3883.31,0.019718400000000004,0.22877994691953063,0.0007458453,,
5623808,6563,2746,856,-0.0014338265755213797,0.752766489982605,-1.0141357518732548,0.3450927734375,0.06592951714992523,-9.98,4.922285714285715e-05,10980,3904.56,0.019689142857142863,0.16396863013505936,0.00079706183,,
5625856,6565,2747,856,-0.0019317775731906295,0.6416436433792114,-0.9945416077971458,0.300537109375,0.05911960452795029,-9.86,4.9149714285714296e-05,10984,3922.39,0.01965988571428572,0.16527608851902187,0.00075930095,,
5627904,6567,2748,856,-0.0004365545610198751,0.46735453605651855,-0.9856673832982779,0.3411865234375,0.08810151368379593,-9.84,4.907657142857144e-05,10988,3926.37,0.01963062857142858,0.19602911500260234,0.000792324,,
5629952,6569,2749,856,-0.0018469055503373966,0.5898966789245605,-1.0003289431333542,0.3043212890625,0.07057926058769226,-9.82,4.900342857142856e-05,10992,3933.51,0.019601371428571424,0.20019562123343349,0.0007209148,,
5632000,6571,2750,856,-0.00222909459262155,0.5375352501869202,-0.9873143397271633,0.25390625,0.1254725307226181,-9.62,4.893028571428571e-05,10996,3955.09,0.019572114285714284,0.24515020195394754,0.0005319357,,
