time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
1160,735,251108,341,0.7514030800000001,914.36,-20.62,,,0.0001,37776,0.00952975731343031
1164,735,252063,342,0.7504576300000001,917.59,-20.63,,,0.0001,38015,0.008318176493048668
1168,734,253011,344,0.74951911,917.66,-20.58,,,0.0001,38252,0.013912743888795376
1172,734,253883,345,0.7486558299999999,917.44,-20.58,,,0.0001,38470,0.00976911187171936
1176,734,254849,347,0.7476994899999999,920.01,-20.58,,,0.0001,38712,0.003745302092283964
1180,733,255762,348,0.7467956199999999,922.62,-20.56,,,0.0001,38940,0.015076331794261932
1184,733,256694,350,0.74587294,921.65,-20.56,,,0.0001,39173,0.0061672525480389595
1188,732,257574,351,0.74500174,922.92,-20.58,,,0.0001,39393,0.0116766057908535
1192,732,258482,352,0.7441028200000002,921.08,-20.59,,,0.0001,39620,0.013059229589998722
1196,732,259384,354,0.74320984,923.65,-20.57,,,0.0001,39845,0.0021399864926934242
1200,731,260307,355,0.7422960699999999,923.98,-20.57,,,0.0001,40076,0.011551796458661556
1204,731,261134,356,0.7414773400000001,916.6,-20.6,,,0.0001,40283,0.0064447904005646706
1208,731,262019,358,0.74060119,915.8,-20.61,,,0.0001,40504,0.00704589206725359
1212,730,262960,359,0.7396695999999999,918.03,-20.6,,,0.0001,40739,0.01694856584072113
1216,730,263785,361,0.73885285,914.91,-20.61,,,0.0001,40946,0.012582685798406601
1220,730,264770,362,0.7378777000000001,918.38,-20.56,,,0.0001,41192,0.005300367716699839
1224,729,265728,364,0.73692928,920.9,-20.57,,,0.0001,41431,0.016049634665250778
1228,729,266611,365,0.7360551100000001,920.49,-20.57,,,0.0001,41652,0.0050241719000041485
1232,729,267560,366,0.7351156,926.38,-20.54,,,0.0001,41889,0.02101270481944084
1236,728,268461,368,0.7342236099999999,927.71,-20.53,,,0.0001,42115,0.010701930150389671
1240,728,269357,369,0.7333365699999999,928.94,-20.54,,,0.0001,42339,0.004941634368151426
1244,728,270259,371,0.7324435899999999,928.86,-20.54,,,0.0001,42564,0.005217127501964569
1248,727,271209,372,0.7315030899999999,931.48,-20.53,,,0.0001,42802,0.003531229915097356
1252,727,272121,374,0.73060021,930.13,-20.55,,,0.0001,43030,0.007111461833119392
1256,727,273047,375,0.7296834699999999,934.15,-20.53,,,0.0001,43261,0.006316101178526878
1260,726,273940,376,0.7287994,936.26,-20.53,,,0.0001,43484,0.0075020198710262775
1264,726,274864,378,0.7278846400000001,935.17,-20.52,,,0.0001,43715,0.005661217495799065
1268,725,275798,379,0.72695998,934.95,-20.59,,,0.0001,43949,0.003456711070612073
1272,725,276742,381,0.72602542,937.56,-20.58,,,0.0001,44185,0.011015592142939568
1276,725,277593,382,0.72518293,933.06,-20.6,,,0.0001,44398,0.008543643169105053
1280,724,278520,384,0.7242652,933.51,-20.6,,,0.0001,44629,0.006385027430951595
1284,724,279420,385,0.7233742000000001,932.12,-20.62,,,0.0001,44854,0.0028986050747334957
1288,724,280365,387,0.72243865,934.64,-20.61,,,0.0001,45091,0.00417480431497097
1292,723,281328,388,0.72148528,936.82,-20.58,,,0.0001,45331,0.011164158582687378
1296,723,282251,390,0.72057151,937.53,-20.59,,,0.0001,45562,0.007305701728910208
1300,723,283154,391,0.71967754,937.09,-20.6,,,0.0001,45788,0.0067039174027740955
