rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,train/loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
0.73,87.53,100322,1208,786,0.76173525,127,0.06806377321481705,12580,0.0001,,
0.67,86.57,100642,1212,784,0.7609752500000002,128,0.1261037141084671,12660,0.0001,,
0.63,85.85,100949,1216,782,0.7602461250000001,128,0.112543024122715,12737,0.0001,,
0.61,85.13,101246,1220,780,0.7595407500000002,129,0.014620237052440643,12811,0.0001,,
0.58,84.8,101594,1224,778,0.7587142500000001,130,0.01401589810848236,12898,0.0001,,
0.57,84.45,101916,1228,777,0.7579494999999997,131,0.0064392383210361,12978,0.0001,,
0.6,84.44,102303,1232,775,0.7570303749999999,131,0.0033354389015585184,13075,0.0001,,
0.59,85.33,102668,1236,773,0.7561635000000001,132,0.09246835857629776,13166,0.0001,,
0.59,85.78,103057,1240,771,0.7552396250000002,133,0.009761132299900055,13264,0.0001,,
0.59,85.41,103401,1244,769,0.7544226249999999,134,0.03108886256814003,13350,0.0001,,
0.58,85.03,103731,1248,768,0.753638875,135,0.018419746309518814,13432,0.0001,,
0.6,85.53,104100,1252,766,0.7527624999999998,135,0.02483111433684826,13524,0.0001,,
0.6,85.64,104448,1256,764,0.7519359999999998,136,0.008408906869590282,13611,0.0001,,
0.52,85.02,104764,1260,763,0.7511854999999998,137,0.006683896295726299,13690,0.0001,,
0.5,84.72,105089,1264,761,0.7504136250000001,137,0.0069546764716506,13772,0.0001,,
0.48,84.33,105381,1268,760,0.7497201250000001,138,0.02480130083858967,13845,0.0001,,
0.48,84.81,105711,1272,759,0.7489363750000003,139,0.1256282925605774,13927,0.0001,,
0.46,84.49,106017,1276,757,0.748209625,139,0.016855604946613312,14004,0.0001,,
0.46,84.39,106335,1280,756,0.7474543749999999,140,0.01755179651081562,14083,0.0001,,
0.41,83.94,106643,1284,755,0.7467228749999999,141,0.019175751134753227,14160,0.0001,,
0.44,84.36,107056,1288,753,0.7457419999999999,142,0.009211311116814613,14263,0.0001,,
0.48,84.98,107433,1292,751,0.7448466250000003,142,0.025061646476387978,14358,0.0001,,
0.43,84.66,107750,1296,750,0.74409375,143,0.03448743373155594,14437,0.0001,,
0.37,83.71,108044,1300,748,0.7433955,144,0.00862184539437294,14510,0.0001,,
0.39,83.71,108355,1304,747,0.742656875,144,0.09277775883674622,14588,0.0001,,
0.47,84.27,108749,1308,745,0.7417211250000001,145,0.010225379839539528,14687,0.0001,,
0.46,84.35,109077,1312,744,0.7409421249999999,146,0.04179510101675987,14769,0.0001,,
0.5,84.62,109411,1316,743,0.7401488750000003,147,0.015080152079463005,14852,0.0001,,
0.52,84.99,109745,1320,742,0.7393556250000001,147,0.01763172261416912,14936,0.0001,,
0.56,85.05,110099,1324,741,0.7385148750000001,148,0.00691827479749918,15024,0.0001,,
0.57,85.54,110470,1328,739,0.7376337499999999,149,0.13747861981391907,15117,0.0001,,
0.51,85.13,110816,1332,738,0.736812,150,0.015640251338481903,15203,0.0001,,
0.54,84.75,111143,1336,736,0.736035375,150,0.004453989677131176,15285,0.0001,,
0.52,84.17,111474,1340,735,0.7352492499999999,151,0.011725119315087795,15368,0.0001,,
